tweet_id	entities	language	text	label	annotated_by_how_many_annotators	user_id	user_name	screen_name	verified	created_at	friends_count	followers_count	statuses_count	favourites_count	default_pic	old_label	topic	date	label_0	label_1	label_2	label_score
1344144851143712768	0:3%OTAR|10:30%OSIG	0	CHP’de ki taciz ve tecavüzleri kadınlar, Erdoğan’dan aldığı cesaretle itiraf ettiler🤨 Erdoğan’dan önce mi🤔	1.0	2	1249598174961991680	Haluk_Akbulut_ 🇹🇷	Haluk_Akbulut_	False	Mon Apr 13 07:20:10 +0000 2020	5223	4878	6189	6901	False	0	3	Mon Apr 13 07:20:10 +0000 2020	3	1	1	0.6
1343949611279540224		0	aşı yapmadığımız için vatan haini mi oluyoruz bide bunu doktor diyor	0.0	4	1154809350214574080	ekrem	ekremxpx	False	Fri Jul 26 17:42:59 +0000 2019	2781	1840	23998	58668	False	0	3	Fri Jul 26 17:42:59 +0000 2019	4	1	0	0.8
1227612681055674368		0	"Kadın erkek herkes #süresiznafakaya karşı. Saygılarımla arz ederim efendim. @RTErdogan @tcbestepe @adalet_bakanlik @ailevecalisma @kademorgtr @trbiaplatformu @MilatGazete @_ezgicelik @AvOzlemZengin @ZehraZumrutS @ntv @ulketv @sldatalay 
https://t.co/BWB1Ba5UwW"	0.0	2	278072053	Ömer ORUÇ✘	omeroruc	False	Wed Apr 06 15:09:53 +0000 2011	7789	7009	12458	13713	False	0	1	Wed Apr 06 15:09:53 +0000 2011	5	0	0	1.0
1229381562518601728	264:277%OTAR|258:263%OSIG|64:71%OSIG|131:135%OSIG	0	"LGBT bireylerin hak ve özgürlüklerinin ihlali sorununun çözümü; an*dolu sağcılığını hâkim ideoloji ve söylem olmaktan çıkarmaktır. Tece'de LGBT bireylerin haklarını savunan ve yaşamlarına karışma hakkını kendinde görmeyen tek kesim şehirli sekülerler. Yani ""foşik beyaz t*rkler."""	1.0	2	1001894640524693504	Ŧħɇ Sŧøɍmƀɍɨnǥɇɍ	erildil31	False	Wed May 30 18:34:31 +0000 2018	612	2434	45386	139065	False	2	1	Wed May 30 18:34:31 +0000 2018	0	2	3	0.6
1274792057995919361	35:40%OTAR|31:34%OSIG	0	+6 ne durduk yere sarı kart ne piç hakem	1.0	2	1010964994605928448	egemencan_34	1905_egemen	False	Sun Jun 24 19:16:52 +0000 2018	907	48	364	2697	False	1	4	Sun Jun 24 19:16:52 +0000 2018	0	4	1	0.8
1317186153603280897	83:86%OTAR|96:101%OTAR|112:117%OSIG	0	Fenerbahçe Beko da Brown tüm takımı katletti resmen ve ısrarla hala oyunda. Yok bu koçtan da bu takımdan da bir cacık olmaz aga.	1.0	4	188314425	Azat Atman 🐞	azt_atmn	False	Wed Sep 08 12:55:55 +0000 2010	199	146	781	588	False	1	4	Wed Sep 08 12:55:55 +0000 2010	0	5	0	1.0
1288297462017544194		0	Yıl olmuş 2020 biz hala kadın hakları, hayvan hakları, toplumsal ahlak, cinayet, tecavüz üzerine konuşuyoruz. Bu arada bir de herşeyi öğrendiğimiz sosyal medya için sansür yasası var. Yazık bize, geleceğe, gençliğe yazık. #SansuerYasasınaDurDe #istanbulsozlesmesiyasatir	0.0	2	754557705172418560	Resmiye Karbuz Kavaklı	rsmykvkl	False	Sun Jul 17 06:05:50 +0000 2016	141	21	502	2699	False	0	1	Sun Jul 17 06:05:50 +0000 2016	3	2	0	0.6
1272247472623104000	173:175%OSIG	0	Herkes böyle ilk 3 hayallerinde, neden? Lig sonuncusu Kayseri’yi Altay’ın üst düzey performansı ve biraz da şansla yendik. 7’de 7 yapacağımız banko havasında herkes noluyor aq?	1.0	2	855768604129845248	Fenerli Circle	Circle_fb	False	Sat Apr 22 13:01:49 +0000 2017	534	172	4556	15746	False	0	4	Sat Apr 22 13:01:49 +0000 2017	3	2	0	0.6
1374108793508880386	83:89%OTAR|90:98%OSIG|126:134%OSIG|136:172%OSIG	0	"İkiside VATAN HAYİNİ!
Ellerinde, tüyü bitmemiş yetimlerin ahı ve kanı var!
Soldaki Ermeni şerefsiz
sağdaki abd’ye hizmet eden şerefsiz!
Vatan hayini din düşmanı ŞEREFSİZLERİ öven’de, destekleyen’de kollayan da HAYİNDİR!
#hakanşükür ve #öcalan 
#terörist https://t.co/U5gRs2O7Cr"	1.0	4	1368827983805419520	Ali KAYA	AliKaya0644_	False	Mon Mar 08 07:36:52 +0000 2021	29	20	62	1164	False	2	2	Mon Mar 08 07:36:52 +0000 2021	0	0	5	1.0
1308280263995138048	233:280%HSIG	0	"BİZLER İSLAM'DAN ÇOK UZAKLAŞTIK

HİNDİSTAN'da İSLÂMa ZULÜM
Camii lerinin Yakıldığı
Üzerlerindeki kıyafetleri zorla çıkarılan 
Hintli Müslüman kadınların feryatlarını dünyaya duyurmak için  
SENde SES VER KARDEŞİM!
 Sende Duaya katil
       Allah'ın laneti kafirlerin üzerine olsun https://t.co/RVhVAMSOXy"	2.0	2	934358648272359424	Burhan Amin (Milli)	Insanlik_olsun	False	Sat Nov 25 09:50:36 +0000 2017	2629	3145	18559	216219	False	2	0	Sat Nov 25 09:50:36 +0000 2017	0	0	5	1.0
