tweet_id	user_id	user_name	screen_name	verified	created_at	friends_count	followers_count	statuses_count	favourites_count	default_pic	label	topic	language	date	text	label_0	label_1	label_2	label_score
1344144851143712768	1249598174961991680	Haluk_Akbulut_ 🇹🇷	Haluk_Akbulut_	False	Mon Apr 13 07:20:10 +0000 2020	5223	4878	6189	6901	False	0	3	0	Mon Apr 13 07:20:10 +0000 2020	CHP’de ki taciz ve tecavüzleri kadınlar, Erdoğan’dan aldığı cesaretle itiraf ettiler🤨 Erdoğan’dan önce mi🤔	3	1	1	0.6
1343949611279540224	1154809350214574080	ekrem	ekremxpx	False	Fri Jul 26 17:42:59 +0000 2019	2781	1840	23998	58668	False	0	3	0	Fri Jul 26 17:42:59 +0000 2019	aşı yapmadığımız için vatan haini mi oluyoruz bide bunu doktor diyor	4	1	0	0.8
1377041814532861957	2361818037	RCC Baseball	RCCEagsBaseball	False	Sun Feb 23 23:16:20 +0000 2014	358	1643	1122	1513	False	0	4	1	Sun Feb 23 23:16:20 +0000 2014	RCC Baseball grabs W 15-5! @Bennet_Nooe Grand Slam! @_toBreezy_ 2 Run bomb! @sell__27 throws 6 2/3 on 85 pitches! Eagles now sit at 12-7 3-1. #rolleags https://t.co/SG3B8mJrm3	4	1	0	0.8
1227612681055674368	278072053	Ömer ORUÇ✘	omeroruc	False	Wed Apr 06 15:09:53 +0000 2011	7789	7009	12458	13713	False	0	1	0	Wed Apr 06 15:09:53 +0000 2011	"Kadın erkek herkes #süresiznafakaya karşı. Saygılarımla arz ederim efendim. @RTErdogan @tcbestepe @adalet_bakanlik @ailevecalisma @kademorgtr @trbiaplatformu @MilatGazete @_ezgicelik @AvOzlemZengin @ZehraZumrutS @ntv @ulketv @sldatalay 
https://t.co/BWB1Ba5UwW"	5	0	0	1.0
1344028788485664769	61317800	Action Jackson	mackeysasser	False	Wed Jul 29 22:51:06 +0000 2009	8139	7424	9898	4681	False	2	2	1	Wed Jul 29 22:51:06 +0000 2009	"the white president lied about covid for a year and 336,000 americans are dead. he won't protect us from russian bounties or cyber attacks. he is presently trying to overthrow our democracy. 

but, obama wore a tan suit once.

to support trump...still...is to be a fucking racist."	0	2	3	0.6
1229381562518601728	1001894640524693504	Ŧħɇ Sŧøɍmƀɍɨnǥɇɍ	erildil31	False	Wed May 30 18:34:31 +0000 2018	612	2434	45386	139065	False	2	1	0	Wed May 30 18:34:31 +0000 2018	"LGBT bireylerin hak ve özgürlüklerinin ihlali sorununun çözümü; an*dolu sağcılığını hâkim ideoloji ve söylem olmaktan çıkarmaktır. Tece'de LGBT bireylerin haklarını savunan ve yaşamlarına karışma hakkını kendinde görmeyen tek kesim şehirli sekülerler. Yani ""foşik beyaz t*rkler."""	0	2	3	0.6
1277464453563498496	1094352741424656384	AHMET ÇOLAK	AHMETOL45571894	False	Sat Feb 09 21:50:00 +0000 2019	96	46	380	1215	False	2	2	1	Sat Feb 09 21:50:00 +0000 2019	Come and kill my people then tell me Turks kills us . Let me say something. FUCK OFF. #TurkeyInvadesKurdistan .	0	2	3	0.6
1344700415145881605	508333384	Tyrone Walden knows the Endgame and how to play it	TyroneWalden	False	Wed Feb 29 03:52:00 +0000 2012	334	316	38027	16586	False	1	0	1	Wed Feb 29 03:52:00 +0000 2012	Hey, @GermanyinUSA @GermanyinBoston @GermanyDiplo ...here's a thought. Why not take your allotment of vaccines  and give them to Jews around the world and keep doing so until every Jewish person has been vaccinated? Consider it a way to make up for having killed half of the	1	3	1	0.6
1377220352128978944	4876607114	gingersnap	cdmorben	False	Mon Feb 08 02:44:37 +0000 2016	4693	4750	13857	12463	False	1	1	1	Mon Feb 08 02:44:37 +0000 2016	"https://t.co/jRA2hFZP73

@govkristinoem people like this governor of SD make people fear and act out violently.... and all these people wanna do is live their best life! I think racism should be a punishable crime!"	2	3	0	0.6
1233881519657246720	1001207153552773120	🤡𝚃𝙷𝙴 𝙿𝚄𝚁𝙿𝙻𝙴 𝙶𝙾𝙰𝚃🤡	BiGcLoWnBoY	False	Mon May 28 21:02:41 +0000 2018	430	691	21786	4198	False	1	1	1	Mon May 28 21:02:41 +0000 2018	"Can we abolish gender now?

Mutha fuckas be taking that shit too seriously."	1	4	0	0.8
